Twitter handle,Class,Count_Plan,Count_Actual,Done
BennieGThompson,Politics - Liberal,75,0,False
BettyMcCollum04,Politics - Liberal,75,0,False
BillPascrell,Politics - Liberal,75,0,False
BobbyScott,Politics - Liberal,75,0,False
BradSherman,Politics - Liberal,75,0,False
Call_Me_Dutch,Politics - Liberal,75,0,False
chelliepingree,Politics - Liberal,75,0,False
CongBoyle,Politics - Liberal,75,0,False
CongressmanRaja,Politics - Liberal,75,0,False
CongresswomanSC,Politics - Liberal,75,0,False
DonaldNorcross,Politics - Liberal,75,0,False
DorisMatsui,Politics - Liberal,75,0,False
EleanorNorton,Politics - Liberal,75,0,False
FrankPallone,Politics - Liberal,75,0,False
GerryConnolly,Politics - Liberal,75,0,False
gracenapolitano,Politics - Liberal,75,0,False
GuamCongressman,Politics - Liberal,75,0,False
Ilhan,Politics - Liberal,75,0,False
JacksonLeeTX18,Politics - Liberal,75,0,False
JoaquinCastrotx,Politics - Liberal,75,0,False
Kilili_Sablan,Politics - Liberal,75,0,False
NormaJTorres,Politics - Liberal,75,0,False
NydiaVelazquez,Politics - Liberal,75,0,False
rep_jackson,Politics - Liberal,75,0,False
Rep_Magaziner,Politics - Liberal,75,0,False
Rep_Peltola,Politics - Liberal,75,0,False
Rep_Stansbury,Politics - Liberal,75,0,False
RepAdams,Politics - Liberal,75,0,False
RepAdamSchiff,Politics - Liberal,75,0,False
RepAdamSmith,Politics - Liberal,75,0,False
RepAlGreen,Politics - Liberal,75,0,False
RepAndreCarson,Politics - Liberal,75,0,False
RepAndyKimNJ,Politics - Liberal,75,0,False
RepAngieCraig,Politics - Liberal,75,0,False
RepAnnaEshoo,Politics - Liberal,75,0,False
RepAnnieKuster,Politics - Liberal,75,0,False
RepAOC,Politics - Liberal,75,0,False
RepAuchincloss,Politics - Liberal,75,0,False
RepBarbaraLee,Politics - Liberal,75,0,False
RepBarragan,Politics - Liberal,75,0,False
RepBeatty,Politics - Liberal,75,0,False
RepBeccaB,Politics - Liberal,75,0,False
RepBera,Politics - Liberal,75,0,False
RepBillFoster,Politics - Liberal,75,0,False
repblumenauer,Politics - Liberal,75,0,False
RepBonamici,Politics - Liberal,75,0,False
RepBonnie,Politics - Liberal,75,0,False
RepBowman,Politics - Liberal,75,0,False
RepBrianHiggins,Politics - Liberal,75,0,False
RepBrownley,Politics - Liberal,75,0,False
RepCarbajal,Politics - Liberal,75,0,False
RepCardenas,Politics - Liberal,75,0,False
RepCartwright,Politics - Liberal,75,0,False
RepCasar,Politics - Liberal,75,0,False
RepCasten,Politics - Liberal,75,0,False
RepChrisPappas,Politics - Liberal,75,0,False
RepChuyGarcia,Politics - Liberal,75,0,False
RepCicilline,Politics - Liberal,75,0,False
repcleaver,Politics - Liberal,75,0,False
RepCohen,Politics - Liberal,75,0,False
RepColinAllred,Politics - Liberal,75,0,False
RepCori,Politics - Liberal,75,0,False
RepCuellar,Politics - Liberal,75,0,False
