Twitter handle,Class,Count_Plan,Count_Actual,Done
ReutersBiz,Business and finance,1000,850,TRUE
CNBC,Business and finance,1000,850,TRUE
jimcramer,Business and finance,1000,849,TRUE
markets,Business and finance,1000,850,TRUE
WSJmarkets,Business and finance,1000,850,TRUE
WSJbusiness,Business and finance,1000,803,TRUE
FinancialTimes,Business and finance,1000,850,TRUE
wealth,Business and finance,1000,850,TRUE
WSJbusiness,Business and finance,1000,803,TRUE
BloombergTV,Business and finance,1000,850,TRUE
YahooFinance,Business and finance,1000,850,TRUE
SB_Commissioner,Business and finance,1000,0,FALSE
breakingmkts,Business and finance,1000,0,FALSE
FirstSquawk,Business and finance,1000,0,FALSE
financialjuice,Business and finance,1000,0,FALSE
BreakingStocks_,Business and finance,1000,0,FALSE
Investingcom,Business and finance,1000,0,FALSE
ForexFactory,Business and finance,1000,0,FALSE
FXstreetReports,Business and finance,1000,0,FALSE
insiderfinance,Business and finance,1000,0,FALSE
Forbes,Business and finance,1000,0,FALSE
FT__Trading,Business and finance,1000,0,FALSE
airstreet,Business and finance,1000,0,FALSE
sequoia,Business and finance,1000,0,FALSE
jpmorgan,Business and finance,1000,0,FALSE
GoldmanSachs,Business and finance,1000,0,FALSE
BlackRock,Business and finance,1000,0,FALSE
PearlJam,Music,400,400,TRUE
RollingStones,Music,400,400,TRUE
billyjoel,Music,400,400,TRUE
justinbieber,Music,400,400,TRUE
katyperry,Music,400,400,TRUE
rihanna,Music,400,400,TRUE
taylorswift13,Music,400,400,TRUE
jtimberlake,Music,400,400,TRUE
britneyspears,Music,400,400,TRUE
shakira,Music,400,400,TRUE
ddlovato,Music,400,400,TRUE
Jlo,Music,400,400,TRUE
BrunoMars,Music,400,400,TRUE
Drake,Music,400,400,TRUE
MileyCyrus,Music,400,400,TRUE
ladygaga,Music,400,400,TRUE
NICKIMINAJ,Music,400,400,TRUE
Pink,Music,400,400,TRUE
selenagomez,Music,400,400,TRUE
Eminem,Music,400,400,TRUE
onedirection,Music,400,400,TRUE
coldplay,Music,400,400,TRUE
SnoopDogg,Music,400,400,TRUE
iamwill,Music,400,400,TRUE
edsheeran,Music,400,400,TRUE
chrisbrown,Music,400,400,TRUE
Harry_Styles,Music,400,400,TRUE
Spotify,Music,400,400,TRUE
AppleMusic,Music,400,400,TRUE
laurenboebert,Politics - Conservative,500,500,TRUE
mattgaetz,Politics - Conservative,500,500,TRUE
tedcruz,Politics - Conservative,500,500,TRUE
RandPaul,Politics - Conservative,500,500,TRUE
GOP,Politics - Conservative,500,500,TRUE
RNCResearch,Politics - Conservative,500,500,TRUE
